url|client_name|review_date|order_date|rating|comment
https://freeglisse.com/fr/mini-ski-occasion-adulte/18977-558720-mini-ski-occasion-snowblade-toutes-marques-tous-modeles-fixations.html#/9-etat_du_materiel-qualite_b/803-taille_skis-61_cm|Daniel L.|29/12/2024|17/12/2024|5.0|Bon état général
https://freeglisse.com/fr/mini-ski-occasion-adulte/18977-558720-mini-ski-occasion-snowblade-toutes-marques-tous-modeles-fixations.html#/9-etat_du_materiel-qualite_b/803-taille_skis-61_cm|Client anonyme|10/12/2024|24/11/2024|5.0|rapport qualité/prix c'est ok
https://freeglisse.com/fr/ski-occasion-adulte-freeride-et-freestyle/18916-431280-ski-occasion-rossignol-sender-104-ti-2024-fixations.html#/3-etat_du_materiel-qualite_a/906-taille_skis-164_cm|Stéphane C.|09/12/2024|26/11/2024|5.0|Skis en très bon état, plus que je ne l'espérais même si la qualité était notée en A.
https://freeglisse.com/fr/ski-occasion-adulte-freeride-et-freestyle/18916-431280-ski-occasion-rossignol-sender-104-ti-2024-fixations.html#/3-etat_du_materiel-qualite_a/906-taille_skis-164_cm|Sébastien J.|16/10/2024|03/10/2024|3.0|"Bonjour je suis dessus de l'état des skis qui était noté pourtant avec un A.
Ils sont bien abîmés ainsi que les fixations j'ai pensé les renvoyer ?
Après je suis sur que c'est un très bon site mais peut être arrêt t'il du mettre une note B."
https://freeglisse.com/fr/ski-occasion-adulte-freeride-et-freestyle/18916-431280-ski-occasion-rossignol-sender-104-ti-2024-fixations.html#/3-etat_du_materiel-qualite_a/906-taille_skis-164_cm|FERNAND L.|17/04/2024|09/04/2024|5.0|Hormis le problème de fixations après avoir pris le soins de les lustré préparé les cares et fartage la notation qualité A n'ai pas mis en  défaut.
https://freeglisse.com/fr/ski-occasion-freeride/18915-431270-ski-occasion-rossignol-sender-94-ti-fixations.html#/3-etat_du_materiel-qualite_a/898-taille_skis-156_cm|Sabri G.|22/12/2024|08/12/2024|5.0|De très bonne qualité
https://freeglisse.com/fr/ski-occasion-freeride/18915-431270-ski-occasion-rossignol-sender-94-ti-fixations.html#/3-etat_du_materiel-qualite_a/898-taille_skis-156_cm|Jeremy B.|10/10/2024|23/09/2024|5.0|"Instruction d'envoi respecté. 
Qualité du produit tel quel que les photos envoyées."
https://freeglisse.com/fr/ski-occasion-freeride/18915-431270-ski-occasion-rossignol-sender-94-ti-fixations.html#/3-etat_du_materiel-qualite_a/898-taille_skis-156_cm|Peio A.|11/11/2023|01/11/2023|4.0|good cuality
https://freeglisse.com/fr/ski-occasion-junior-loisir/20072-551972-ski-occasion-junior-rossignol-hero-jr-2022-fixations.html#/3-etat_du_materiel-qualite_a/842-taille_skis-100_cm|Alexandre M.|23/12/2024|10/12/2024|5.0|Très bien
https://freeglisse.com/fr/ski-occasion-junior-loisir/20072-551972-ski-occasion-junior-rossignol-hero-jr-2022-fixations.html#/3-etat_du_materiel-qualite_a/842-taille_skis-100_cm|Client anonyme|17/12/2024|01/12/2024|2.0|Convenable
https://freeglisse.com/fr/ski-occasion-junior-loisir/20072-551972-ski-occasion-junior-rossignol-hero-jr-2022-fixations.html#/3-etat_du_materiel-qualite_a/842-taille_skis-100_cm|Anthony Z.|10/12/2024|23/11/2024|5.0|Nickel
https://freeglisse.com/fr/ski-occasion-junior-loisir/20072-551972-ski-occasion-junior-rossignol-hero-jr-2022-fixations.html#/3-etat_du_materiel-qualite_a/842-taille_skis-100_cm|Julien D.|20/10/2024|07/10/2024|5.0|Très bon état général avec les fixations déjà réglées suivant les chaussures achetées en même temps. Parfait
https://freeglisse.com/fr/ski-occasion-junior-pas-cher/18084-388201-ski-occasion-junior-toutes-marques-a-29-fixations.html#/9-etat_du_materiel-qualite_b/842-taille_skis-100_cm|Jessica R.|31/12/2024|18/12/2024|5.0|Site sérieux et produits conformes à la description.
